鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,房地(土地+建物)+車位,高雄市三民區信國路1~30號,23.07,住,,,1081214,土地1建物1車位2,十一層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0801119,221.04,4,2,2,有,有,8200000,37097,坡道平面,0.0,0,含增建或未登記建物。;,RPROMLMKKHPFFDE18CA
三民區,房地(土地+建物),高雄市三民區立忠路95巷1~30號,26.88,住,,,1081208,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690415,70.09,3,2,2,有,無,2380000,33956,,0.0,0,,RPSOMLOKKHPFFDE48CA
三民區,房地(土地+建物),高雄市三民區覺民路233巷1~30號,28.71,住,,,1081113,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730702,95.98,3,1,1,有,無,4200000,43759,,0.0,0,含增建或未登記建物。;有整修,RPVNMLRLKHPFFDE09CA
左營區,房地(土地+建物)+車位,高雄市左營區福山里民族一路1171~1200號,9.22,住,,,1081123,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,101.6,1,1,1,有,有,6250000,61516,升降機械,0.0,0,,RPSPMLKMJHPFFEE38CA
左營區,房地(土地+建物),高雄市左營區福山里民族一路1171~1200號,6.95,住,,,1081212,土地1建物1車位0,十一層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,76.58,1,1,1,有,有,5150000,67250,,0.0,0,,RPTPMLKMJHPFFEE48CA
左營區,房地(土地+建物),高雄市左營區福山里民族一路1171~1200號,6.67,住,,,1080714,土地1建物1車位0,六層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,73.53,1,1,1,有,有,4880000,66367,,0.0,0,,RPUPMLKMJHPFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區福山里民族一路1171~1200號,16.56,住,,,1081212,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,182.53,2,1,2,有,有,10500000,57525,坡道平面,0.0,0,,RPVPMLKMJHPFFEE68CA
左營區,房地(土地+建物),高雄市左營區福山里民族一路1171~1200號,6.67,住,,,1081026,土地1建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081204,73.53,1,1,1,有,有,4880000,66367,,0.0,0,,RPWPMLKMJHPFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區辛亥路241~270號,14.81,其他,,,1081215,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011105,224.94,3,2,2,有,有,15100000,67129,坡道平面,22.88,0,,RPUOMLRJKHPFFEE98CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛二路571~600號,30.05,住,,,1081209,土地1建物1車位2,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890703,499.22,5,2,5,有,有,30000000,60094,坡道平面,48.0,0,含增建或未登記建物。,RPXNMLNJKHPFFEE78CA
