鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區河北路二段31~60號,8.37,住,,,1081226,土地2建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820806,51.199999999999996,2,2,2,有,有,3000000,58594,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLMKKHPFFBB08CA
北屯區,車位,臺中市北屯區九龍街61~90號,20.12,商,,,1081230,土地0建物0車位2,,,其他,,,,65.05,0,0,0,有,有,1600000,,坡道平面,65.04,1600000,單獨車位交易,RPROMLOKKHPFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區敦化路一段571~600號,12.64,其他,,,1081217,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830415,113.66000000000001,3,2,2,有,有,6330000,55692,,0.0,0,,RPVNMLPKKHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區東山路一段147巷9弄1~30號,39.0,住,,,1081220,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690331,95.11999999999999,3,2,1,有,無,2950000,31013,,0.0,0,含增建或未登記建物。;,RPPNMLQKKHPFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區雷中街61巷14弄1~30號,15.09,住,,,1081211,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800805,70.46000000000001,2,1,1,有,有,4200000,59608,升降機械,0.0,0,,RPSNMLKLKHPFFBB57CA
西屯區,房地(土地+建物)+車位,臺中市西屯區上安路18巷61~90號,35.41,住,,,1081127,土地1建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960123,233.20999999999998,4,2,2,有,有,16000000,68608,坡道平面,59.44,0,,RPRTMLLLJHPFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區嶺東南路61~90號,19.13,住,,,1081224,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830328,119.8,3,2,2,有,有,5930000,49499,坡道機械,0.0,0,,RPSUMLLLJHPFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區上石路181巷1~30號,21.11,商,,,1081125,土地5建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951003,221.19,3,2,2,有,有,14800000,66911,坡道平面,28.06,0,親友、員工或其他特殊關係間之交易。;,RPROMLMLJHPFFCB77CA
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段690巷1~30號,24.38,住,,,1081207,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950222,255.68,4,2,2,有,有,15750000,61600,坡道平面,45.8,0,,RPQSMLMLJHPFFCB08CA
西屯區,土地,逢大段31~60地號,1452.87,其他,,,1081009,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325000000,223695,,0.0,0,,RPUUMLMLJHPFFCB68CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,13.47,住,,,1081209,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,133.56,2,2,2,有,有,11300000,109242,坡道平面,42.02,1300000,,RPSPMLLMJHPFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,13.47,住,,,1081129,土地1建物1車位1,八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,135.13,2,2,1,有,有,11000000,99882,坡道平面,42.02,1700000,,RPTPMLLMJHPFFCB08CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,9.53,住,,,1081130,土地1建物1車位2,十二層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,109.93,1,2,1,有,有,9000000,107495,坡道機械,42.02,1700000,,RPUPMLLMJHPFFCB18CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,13.71,住,,,1081213,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,136.9,2,2,1,有,有,12200000,112774,坡道平面,42.02,1500000,,RPWPMLLMJHPFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,9.53,住,,,1081111,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,110.4,1,2,1,有,有,8800000,109681,坡道平面,42.02,1300000,,RPXPMLLMJHPFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安二路151~180號,14.4,住,,,1080928,土地1建物1車位2,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070503,162.56,2,2,2,有,有,12950000,104993,坡道平面,63.03,2500000,,RPVQMLLMJHPFFCB38CA
南屯區,房地(土地+建物),臺中市南屯區東興西街1~30號,4.18,住,,,1090103,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801206,36.36,1,1,1,有,有,880000,24202,,0.0,0,,RPRRMLLMJHPFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東路211~240號,27.5,住,,,1081129,土地1建物1車位2,二十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,284.06,4,2,2,有,有,28580000,100613,坡道平面,62.98,0,,RPVRMLLMJHPFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區國安一路235巷1~30號,30.45,住,,,1081214,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850923,138.43,3,2,2,有,有,5890000,42549,,0.0,0,,RPWRMLLMJHPFFCB58CA
西屯區,房地(土地+建物),臺中市西屯區福中三街1~30號,23.38,住,,,1081225,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820310,119.31,3,2,2,有,有,6000000,50289,,0.0,0,,RPRNMLMJKHPFFCB57CA
西屯區,房地(土地+建物),臺中市西屯區甘肅路一段1~30號,26.74,住,,,1081216,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0681115,88.45,4,0,4,有,無,6460000,73036,,0.0,0,,RPPNMLNJKHPFFCB47CA
南屯區,房地(土地+建物)+車位,臺中市南屯區保安三街31~60號,19.5,住,,,1081211,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891109,141.26,3,2,2,有,有,8800000,62296,坡道平面,15.0,0,,RPPOMLNJKHPFFCB57CA
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街1~30號,33.5,住,,,1080930,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961226,212.07,4,2,2,有,有,10680000,50361,坡道平面,0.0,0,,RPSPMLOJKHPFFCB08CA
南屯區,車位,臺中市南屯區黎明路二段421~450號,1.8,住,,,1090103,土地0建物0車位1,一層,十八層,其他,見其他登記事項,鋼筋混凝土造,0850612,16.01,0,0,0,有,有,750000,,坡道平面,0.0,750000,,RPTNMLPJKHPFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區龍門路101巷1~30號,101.22,住,,,1081222,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0941208,220.43,3,3,3,有,無,22580000,102436,,0.0,0,,RPWNMLQJKHPFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街421~450號,51.91,住,,,1081208,土地1建物1車位3,六層，七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010713,402.48,4,2,3,有,有,33200000,82489,坡道平面,108.12,0,,RPPPMLKKKHPFFCB47CA
