鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區東湖路106巷9弄1~30號,28.8,商,,,1081117,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710621,101.34,3,2,2,有,無,13250000,130748,,0.0,0,含增建或未登記建物。;,RPSNMLKMJHPFFCA57CA
內湖區,房地(土地+建物),臺北市內湖區康寧路一段156巷10弄1~30號,34.0,住,,,1081225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661229,94.43,3,2,1,有,無,12200000,129196,,0.0,0,含增建或未登記建物。;,RPWNMLKMJHPFFCA97CA
中山區,房地(土地+建物),臺北市中山區市民大道二段67巷1~30號,21.2,商,,,1081119,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720419,96.52,3,2,2,有,無,17500000,181310,,0.0,0,"含增建或未登記建物。;包含同棟地下室,權利範圍:1/15。",RPXNMLKMJHPFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區成功路二段426巷7弄1~30號,29.95,住,,,1081118,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750224,94.52,4,1,2,有,無,17500000,185146,,0.0,0,含增建或未登記建物。;,RPPOMLKMJHPFFCA37CA
中山區,房地(土地+建物),臺北市中山區五常街53巷1~30號,24.8,住,,,1081222,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680410,90.0,3,2,1,有,無,15360000,170667,,0.0,0,含增建或未登記建物。;,RPUPMLKMJHPFFCA97CA
中山區,房地(土地+建物),臺北市中山區德惠街170巷1~30號,5.8,住,,,1081126,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0720520,56.91,2,1,1,有,無,10000000,175716,,0.0,0,含增建或未登記建物。;,RPVPMLKMJHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區中山北路三段55巷1~30號,4.63,商,,,1081218,土地1建物1車位0,八層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681227,38.370000000000005,1,1,1,有,有,5700000,148554,,0.0,0,,RPWPMLKMJHPFFCA18CA
大同區,房地(土地+建物),臺北市大同區酒泉街31~60號,21.63,商,,,1081226,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0671028,104.68,2,2,2,有,無,8000000,76423,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVPMLTKKHPFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區德昌街241~270號,13.6,住,,,1081127,土地1建物1車位0,防空避難室,七層,倉庫,見使用執照,鋼筋混凝土造,0770204,102.97,0,0,0,無,無,9000000,,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLKLKHPFFBA27CA
中正區,房地(土地+建物),臺北市中正區金山南路一段151~180號,13.2,住,,,1081228,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790621,104.5,3,2,2,有,無,26500000,253589,,0.0,0,,RPPNMLLLKHPFFBA27CA
大同區,房地(土地+建物),臺北市大同區延平北路二段144巷1~30號,274.0,其他,,,1081213,土地2建物2車位0,全,三層,透天厝,,磚造,,632.7,6,6,6,有,無,172200000,272167,,0.0,0,,RPQPMLTKKHPFFBA28CA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段416巷31~60號,53.48,住,,,1081227,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,206.68,4,2,2,有,有,32500000,157248,坡道平面,0.0,0,,RPWNMLLMJHPFFBA97CA
大同區,房地(土地+建物),臺北市大同區哈密街59巷31弄1~30號,39.0,住,,,1081206,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),,加強磚造,,58.24,2,1,1,有,無,6700000,115041,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLNJKHPFFBA37CA
大同區,土地,雙連段一小段91~120地號,17.0,商,,,1081225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,247059,,0.0,0,含增建或未登記建物。;二等親間買賣,RPUNMLOJKHPFFBA87CA
中正區,房地(土地+建物),臺北市中正區信義路二段241~270號,4.68,商,,,1081218,土地12建物1車位0,六層,十四層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,1070702,44.56,1,1,1,有,有,21000000,471275,,0.0,0,,RPSNMLPJKHPFFBA77CA
中正區,房地(土地+建物),臺北市中正區新生南路一段121~150號,15.06,住,,,1081208,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.25,2,2,1,有,有,21000000,282828,,0.0,0,含增建或未登記建物。;,RPRNMLTJKHPFFBA08CA
大同區,房地(土地+建物),臺北市大同區歸綏街160巷1~30號,5.01,商,,,1081222,土地4建物1車位0,八層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850530,34.83,0,1,1,有,有,5920000,169968,,0.0,0,,RPXNMLKMJHPFFBA97CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段1~30號,42.7,住,,,1081129,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790430,175.53,0,0,0,無,有,20400000,130404,坡道平面,34.42,2000000,,RPPNMLRKKHPFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段118巷1~30號,15.38,商,,,1081217,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0900802,134.05,3,2,2,有,有,22800000,170086,坡道機械,21.04,0,含增建或未登記建物。;,RPWNMLLMJHPFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區政大三街1~30號,100.6,住,,,1081130,土地1建物1車位1,四層，五層，電梯樓梯間,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851217,192.96,3,2,2,有,有,19800000,102612,坡道平面,0.0,0,含增建或未登記建物。;車位面積無法概算。本案五層有電梯。,RPXNMLLMJHPFFAA97CA
文山區,房地(土地+建物),臺北市文山區萬美街二段31~60號,41.14,住,,,1090104,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840830,136.06,2,1,2,有,有,14580000,107159,,0.0,0,,RPVNMLNJKHPFFAA77CA
文山區,土地,草湳段三小段211~240地號,1161.0,其他,,,1090113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,560000,482,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLNJKHPFFAA77CA
文山區,房地(土地+建物),臺北市文山區興隆路一段55巷1~30號,42.25,住,,,1081205,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,113.67,3,2,2,有,無,13200000,116126,,0.0,0,含增建或未登記建物。;,RPROMLKMJHPFFAA37CA
中正區,房地(土地+建物),臺北市中正區西藏路1~30號,21.95,住,,,1081210,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.7,2,2,2,有,無,6300000,83223,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLKMJHPFFAA57CA
