鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鶯歌區,房地(土地+建物),新北市鶯歌區鳳福路151~180號,16.82,住,,,1060305,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,74.19,2,1,1,有,有,5150000,69416,,0.0,0,,RPVPMLPKKHPFFIF96CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳吉一街181~210號,18.52,住,,,1060709,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,81.35000000000001,3,1,1,有,有,5850000,71911,,0.0,0,,RPWPMLPKKHPFFIF07CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳福路151~180號,16.82,住,,,1060310,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,69.50999999999999,2,1,1,有,有,4780000,68767,,0.0,0,,RPSQMLPKKHPFFIF76CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,25.18,住,,,1060725,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,140.4,3,2,2,有,有,9000000,70038,坡道平面,30.46,1300000,,RPTQMLPKKHPFFIF86CA
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街181~210號,18.79,住,,,1060920,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,113.13999999999999,3,1,1,有,有,7180000,69900,坡道平面,30.45,1400000,,RPUQMLPKKHPFFIF96CA
樹林區,車位,新北市樹林區新興街1巷1~30號,1.78,住,,,1081230,土地0建物0車位1,騎樓，管理員室（警衛室），通道，地下一層,六層,其他,見其他登記事項,鋼筋混凝土造,0880319,30.57,0,0,0,有,有,1200000,,坡道平面,30.57,1200000,,RPXNMLRKKHPFFIF17CA
鶯歌區,房地(土地+建物),新北市鶯歌區鳳福路151~180號,16.0,住,,,1060313,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081022,71.21000000000001,2,1,1,有,有,4980000,69934,,0.0,0,,RPRNMLSKKHPFFIF66CA
樹林區,房地(土地+建物),新北市樹林區育英街91~120號,42.67,住,,,1081228,土地1建物1車位0,二層，三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,99.88,3,2,2,有,無,8200000,82099,,0.0,0,,RPROMLLLKHPFFIF78CA
板橋區,房地(土地+建物),新北市板橋區三民路二段151~180號,22.0,住,,,1081218,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681102,80.45,3,1,1,有,無,6000000,74580,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLLLJHPFFAF38DA
土城區,房地(土地+建物),新北市土城區中正路67巷31~60號,16.1,住,,,1081130,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041209,96.13,2,2,1,有,有,11890000,123687,,0.0,0,,RPQNMLMJKHPFFAF77DA
板橋區,房地(土地+建物),新北市板橋區四維路306巷1~30號,17.4,住,,,1081218,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.69,3,1,2,有,無,6000000,79271,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLNJKHPFFAF97DA
泰山區,房地(土地+建物)+車位,新北市泰山區文化街1~30號,26.46,住,,,1081229,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,146.53,3,2,2,有,有,11800000,91102,坡道平面,33.47,1500000,含增建或未登記建物。,RPQNMLMJKHPFFBF87DA
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段271~300號,26.49,住,,,1081216,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040519,119.42000000000002,1,2,1,有,有,8200000,73163,坡道平面,25.11,1300000,含增建或未登記建物。,RPRNMLMJKHPFFBF97DA
